roi_id,f_mean,f_std,f_max,f_min,fneu_mean,fneu_max,alpha,f_range,f_snr,fneu_f_ratio,high_alpha,low_snr,fneu_exceeds_f,extreme_range,fc_mean,fc_min,fc_negative_pct,fc_negative,high_fc_negative,dff_max,dff_min,dff_std,dff_explosion,dff_implosion,high_dff_noise,exclude,caution,good_quality
662,230.7245,65.248085,610.83746,42.06509,273.76596,1167.5605,0.3,568.7724,3.5361116,1.1865492,False,False,True,False,148.5947,-51.90278,0.2126357809851456,True,False,5.905633,-2.1397202,0.7609467,False,False,False,False,False,-2
663,1028.5135,107.42712,2947.2817,632.52466,393.79068,1186.6354,0.7,2314.757,9.574059,0.3828736,True,False,False,False,752.86017,365.5978,0.0,False,False,2.247688,-0.41203392,0.15365833,False,False,False,False,True,-2
664,378.58853,97.348206,1164.848,124.58662,360.46625,1069.177,0.49103847,1040.2614,3.889014,0.952132,False,False,True,False,201.58574,-50.45556,0.08124291631979619,True,False,6.158531,-1.6494435,0.6315323,False,False,False,False,False,-2
665,1108.7246,218.69257,2207.9446,404.24554,710.0766,1511.7522,0.3849101,1803.699,5.0697865,0.6404445,False,False,False,False,835.40894,148.83861,0.0,False,False,1.913005,-0.73162043,0.27442554,False,False,False,False,False,-2
666,162.87053,108.85446,809.819,2.2396362,124.22877,330.4936,0.7,807.57935,1.4962229,0.7627455,True,True,False,True,75.910385,-75.4236,19.41705700043129,True,False,49.561394,-31.12297,5.610168,True,True,True,True,True,-2
667,578.84595,337.39792,2117.245,28.522,244.09396,616.09503,0.7,2088.7231,1.715618,0.42169073,True,True,False,True,407.98013,-74.04471,0.7693002076207861,True,False,10.662616,-3.5694454,0.97804976,True,False,False,True,True,-2
668,590.4363,125.44891,1271.1069,222.8105,454.6422,944.6892,0.7,1048.2964,4.7065873,0.77001065,True,False,False,False,272.18674,-116.903656,0.34503164461740604,True,False,9.068325,-1.9091561,0.85995036,False,False,False,False,True,-2
669,398.7846,77.739204,1042.5057,148.88936,372.80273,862.7209,0.3,893.6164,5.1297746,0.93484735,False,False,True,False,286.94382,31.952774,0.0,False,False,2.409215,-0.777538,0.28857058,False,False,False,False,False,-2
670,287.25787,73.06635,774.2074,60.055847,145.70264,396.7627,0.7,714.15155,3.9314659,0.50721896,True,False,False,False,185.26605,-24.220604,0.009026990702199577,True,False,3.495317,-1.3133931,0.51577383,False,False,False,False,True,-2
671,882.7544,415.05518,2793.4414,82.58259,393.95694,883.3105,0.7,2710.859,2.1268363,0.4462815,True,False,False,True,606.9846,-86.401085,0.08826390908817365,True,False,4.996562,-1.7336638,0.5288103,False,False,False,False,True,-2
672,1665.1385,403.612,3727.2407,564.85706,759.00934,1626.5012,0.7,3162.3838,4.125592,0.45582354,True,False,False,False,1133.8318,80.07434,0.0,False,False,1.9740113,-0.81568855,0.20631826,False,False,False,False,True,-2
673,2055.8057,476.43912,3396.9631,307.8782,833.8715,1491.9962,0.7,3089.085,4.314939,0.40561786,True,False,False,False,1472.0955,117.17857,0.0,False,False,2.2540808,-0.8290532,0.27316234,False,False,False,False,True,-2
674,493.92346,180.24245,1557.4233,56.09,341.05197,886.9022,0.7,1501.3334,2.7403283,0.6904956,True,False,False,True,255.1871,-111.98326,0.8395101353045606,True,False,12.386767,-2.6359308,1.1031686,True,False,False,True,True,-2
675,828.3701,162.3876,2232.1792,286.6141,511.17654,1097.4341,0.5703016,1945.5651,5.1011906,0.6170871,False,False,False,False,536.8454,23.297333,0.0,False,False,3.2569208,-0.93429184,0.43749034,False,False,False,False,False,-2
676,250.13498,55.22061,899.0273,122.9129,209.11078,659.4293,0.7,776.1144,4.5297394,0.83599174,True,False,True,True,103.757454,-13.775177,0.013038986569843833,True,False,4.4711637,-1.2489562,0.6684758,False,False,False,False,True,-2
677,409.55466,89.65492,1195.9983,165.21167,464.4256,1062.0774,0.7,1030.7866,4.5681224,1.133977,True,False,True,False,84.4567,-158.47664,12.7641648529102,True,False,182.41107,-119.17621,21.707733,True,True,True,True,True,-2
